date,platform,artist,track,country,streams
2021-01-15,Spotify,The Weeknd,Blinding Lights,US,92000
2021-01-20,Apple Music,The Weeknd,The Hills,US,78000
2021-01-25,YouTube,The Weeknd,Starboy,US,85000
2021-02-01,Spotify,The Weeknd,Blinding Lights,US,88000
2021-02-10,Apple Music,The Weeknd,Blinding Lights,US,185000
2021-02-15,Spotify,The Weeknd,The Hills,US,172000
2021-02-20,YouTube,The Weeknd,Starboy,US,198000
2021-02-28,Spotify,The Weeknd,Blinding Lights,US,165000
2021-03-05,Apple Music,The Weeknd,The Hills,US,158000
2022-01-20,Spotify,Dr. Dre,Still D.R.E.,US,68000
2022-01-25,Apple Music,Snoop Dogg,Gin and Juice,US,62000
2022-01-28,YouTube,Eminem,Lose Yourself,US,71000
2022-02-05,Spotify,Eminem,Without Me,US,75000
2022-02-10,Apple Music,Dr. Dre,The Next Episode,US,72000
2022-02-18,Spotify,Dr. Dre,Still D.R.E.,US,165000
2022-02-22,Apple Music,Snoop Dogg,Gin and Juice,US,178000
2022-02-25,YouTube,Eminem,Lose Yourself,US,192000
2022-03-01,Spotify,Snoop Dogg,Who Am I,US,155000
2022-03-08,Apple Music,Eminem,Without Me,US,168000
2023-01-18,Spotify,Bad Bunny,Un Verano Sin Ti,US,95000
2023-01-22,Apple Music,Rihanna,Umbrella,US,82000
2023-01-28,YouTube,Bad Bunny,Tití Me Preguntó,US,88000
2023-02-05,Spotify,Rihanna,Diamonds,US,91000
2023-02-10,Apple Music,Bad Bunny,Me Porto Bonito,US,87000
2023-02-15,Spotify,Bad Bunny,Un Verano Sin Ti,US,210000
2023-02-18,Apple Music,Rihanna,Umbrella,US,198000
2023-02-22,YouTube,Rihanna,We Found Love,US,225000
2023-02-28,Spotify,Bad Bunny,Ojitos Lindos,US,185000
2023-03-05,Apple Music,Rihanna,Diamonds,US,192000
2023-03-10,YouTube,Bad Bunny,Me Porto Bonito,US,175000
2024-01-18,Spotify,Usher,Yeah!,US,102000
2024-01-22,Apple Music,Usher,Burn,US,95000
2024-01-28,YouTube,Usher,Confessions Part II,US,88000
2024-02-05,Spotify,Usher,Yeah!,US,98000
2024-02-15,Apple Music,Usher,Yeah!,US,245000
2024-02-20,Spotify,Usher,Burn,US,228000
2024-02-25,YouTube,Usher,Confessions Part II,US,235000
2024-03-01,Spotify,Usher,Yeah!,US,198000
2024-03-08,Apple Music,Usher,Burn,US,185000
2024-06-01,Spotify,E40,Function,US,42000
2024-06-01,Apple Music,Too Short,Gettin It,US,38000
2024-06-01,YouTube,Mac Dre,Feeling Myself,US,35000
2024-07-15,Spotify,Knxwledge,1988,US,28000
2024-07-15,Apple Music,Pusha T,Numbers on the Boards,US,32000
2024-08-01,YouTube,Kanye West,Stronger,US,125000
2024-08-01,Spotify,ASAP Rocky,Praise The Lord,US,95000
2024-08-01,Apple Music,Lorde,Royals,US,82000
2024-09-10,Spotify,Bad Bunny,Un Verano Sin Ti,MX,78000
2024-09-10,Apple Music,Rihanna,Umbrella,UK,65000
2024-09-10,YouTube,The Weeknd,Blinding Lights,CA,72000
2024-10-01,Spotify,Dr. Dre,Still D.R.E.,DE,45000
2024-10-01,Apple Music,Snoop Dogg,Gin and Juice,FR,52000
2024-10-01,YouTube,Eminem,Lose Yourself,JP,38000
2024-11-15,Spotify,Usher,Yeah!,AU,62000
2024-11-15,Apple Music,Beyoncé,Crazy in Love,BR,58000
2024-11-15,YouTube,Shakira,Waka Waka,ES,71000
2025-01-01,Spotify,Bad Bunny,Un Verano Sin Ti,US,135000
2025-01-01,Apple Music,Rihanna,Diamonds,US,118000
2025-03-01,YouTube,The Weeknd,Blinding Lights,UK,98000
2025-05-15,Spotify,Eminem,Lose Yourself,CA,85000
2025-07-20,Apple Music,Dr. Dre,Still D.R.E.,US,72000
2025-09-01,Spotify,Usher,Yeah!,US,142000
2025-11-10,YouTube,Beyoncé,Formation,US,125000
2026-01-15,Spotify,Bad Bunny,Me Porto Bonito,US,155000
2026-01-15,Apple Music,Rihanna,We Found Love,US,138000
2026-02-01,YouTube,The Weeknd,Blinding Lights,US,148000
2026-04-01,Spotify,E40,Choices,US,48000
2026-06-01,Apple Music,Lorde,Green Light,US,92000
2026-08-01,YouTube,Kanye West,Gold Digger,US,132000
2026-10-01,Spotify,ASAP Rocky,Everyday,US,88000
2026-12-01,Apple Music,Pusha T,If You Know You Know,US,52000
